Typ normy,Strefa,Informacje dotyczące obszaru przekroczenia,Przyczyny przekroczenia,Stanowisko pomiarowe,Data i godzina,Czas trwania,Liczba mieszkańców,Wartość maksymalnego stężenia (µg/m3),Informacje o podjętych ograniczeniach,Dodatkowe informacje,Odnośnik do strony internetowej z informacjami,Odnośnik do strony internetowej z planem działań,Prognoza zmian stężeń,"Obszar geograficzny, na którym spodziewane są przekroczenia",Informacje w sprawie grup ludności objętych ryzykiem,Opis prawdopodobnych symptomów,Zalecane środki ostrożności,"Wskazanie, gdzie można uzyskać dalsze informacje",Identyfikator stacji,Kod stacji,Nazwa stacji,WGS84 φ N,WGS84 λ E,Identyfikator miasta,Nazwa miasta,Gmina,Powiat,Województwo,Ulica
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL0204 strefa dolnośląska,,Napływ zanieczyszczeń powietrza spoza granic kraju (transgraniczny charakter zanieczyszczenia),DsCzerStraza,2024-03-31 00:00:00,24godziny,,132.9,,,,,,,,,,,11.0,DsCzerStraza,Czerniawa,50.912475,15.312190,142.0,Czerniawa,Świeradów-Zdrój,lubański,DOLNOŚLĄSKIE,ul. Strażacka 7
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL0203 miasto Wałbrzych,,Napływ zanieczyszczeń powietrza spoza granic kraju (transgraniczny charakter zanieczyszczenia),DsWalbrzWyso,2024-03-31 00:00:00,24godziny,,107.4,,,,,,,,,,,109.0,DsWalbrzWyso,"Wałbrzych, ul. Wysockiego",50.768729,16.269677,998.0,Wałbrzych,Wałbrzych,Wałbrzych,DOLNOŚLĄSKIE,ul. Wysockiego 11
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL0204 strefa dolnośląska,,Napływ zanieczyszczeń powietrza spoza granic kraju (transgraniczny charakter zanieczyszczenia),DsTrzebniMaj,2024-03-31 00:00:00,24godziny,,101.4,,,,,,,,,,,11934.0,DsTrzebniMaj,"Trzebnica, ul. 3 Maja",51.304817,17.071367,975.0,Trzebnica,Trzebnica,trzebnicki,DOLNOŚLĄSKIE,ul. 3 Maja
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL0204 strefa dolnośląska,,Napływ zanieczyszczeń powietrza spoza granic kraju (transgraniczny charakter zanieczyszczenia),DsStrzegomMOB,2024-03-31 00:00:00,24godziny,,116.4,,,,,,,,,,,12055.0,DsStrzegomMOB,Strzegom,50.969633,16.348469,888.0,Strzegom,Strzegom,świdnicki,DOLNOŚLĄSKIE,ul. A. Mickiewicza 2
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL0204 strefa dolnośląska,,Napływ zanieczyszczeń powietrza spoza granic kraju (transgraniczny charakter zanieczyszczenia),DsNowRudJezi,2024-03-31 00:00:00,24godziny,,105.4,,,,,,,,,,,11254.0,DsNowRudJezi,"Nowa Ruda, ul. Jeziorna",50.581492,16.498245,602.0,Nowa Ruda,Nowa Ruda,kłodzki,DOLNOŚLĄSKIE,ul. Jeziorna 19
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL0202 miasto Legnica,,Napływ zanieczyszczeń powietrza spoza granic kraju (transgraniczny charakter zanieczyszczenia),DsLegAlRzecz,2024-03-31 00:00:00,24godziny,,115.4,,,,,,,,,,,52.0,DsLegAlRzecz,"Legnica, al. Rzeczypospolitej",51.204503,16.180513,453.0,Legnica,Legnica,Legnica,DOLNOŚLĄSKIE,al. Rzeczypospolitej 10/12
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL0204 strefa dolnośląska,,Napływ zanieczyszczeń powietrza spoza granic kraju (transgraniczny charakter zanieczyszczenia),DsKudowaSzkoMOB,2024-03-31 00:00:00,24godziny,,114.3,,,,,,,,,,,17780.0,DsKudowaSzkoMOB,"Kudowa-Zdrój, ul. Szkolna",50.438363,16.243756,443.0,Kudowa-Zdrój,Kudowa-Zdrój,kłodzki,DOLNOŚLĄSKIE,Szkolna 8
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL0204 strefa dolnośląska,,Napływ zanieczyszczeń powietrza spoza granic kraju (transgraniczny charakter zanieczyszczenia),DsKlodzSzkol,2024-03-31 00:00:00,24godziny,,105.1,,,,,,,,,,,38.0,DsKlodzSzkol,"Kłodzko, ul. Szkolna",50.433493,16.653660,368.0,Kłodzko,Kłodzko,kłodzki,DOLNOŚLĄSKIE,ul. Szkolna 8
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL0204 strefa dolnośląska,,Napływ zanieczyszczeń powietrza spoza granic kraju (transgraniczny charakter zanieczyszczenia),DsJelGorOgin,2024-03-31 00:00:00,24godziny,,105.6,,,,,,,,,,,9153.0,DsJelGorOgin,"Jelenia Góra, ul. Ogińskiego",50.913433,15.765608,319.0,Jelenia Góra,Jelenia Góra,Jelenia Góra,DOLNOŚLĄSKIE,ul. Ogińskiego 6
Poziom Alarmowy (PA) - Ochrona Zdrowia (OZ) / S24 > 150 ug/m3,PL0204 strefa dolnośląska,,Napływ zanieczyszczeń powietrza spoza granic kraju (transgraniczny charakter zanieczyszczenia),DsCzerStraza,2024-03-30 00:00:00,24godziny,,167.8,,,,,,,,,,,11.0,DsCzerStraza,Czerniawa,50.912475,15.312190,142.0,Czerniawa,Świeradów-Zdrój,lubański,DOLNOŚLĄSKIE,ul. Strażacka 7
